strata,n_study,beta,k,se,zval,pval,ci.lb,ci.ub,tau2,se.tau2,sigma2,I2,H2,QE.LRT,QEp.LRT,QE.Wld,QEp.Wld,QE.df,phenotype,average_proportion,average_lci,average_uci
Type A1,4,-2.834053325115958,4,0.09732770506387596,-29.118669994899964,2.083416986900365e-186,-3.0248121217390915,-2.6432945284928246,0.027756641387582173,NA,NA,90.89229870540971,10.979718895633651,17.478178964621073,5.634419609021622e-4,15.30378598449881,0.0015746129539730674,3,SAID,0.05551149892528864,0.04631744812639805,0.06640350233141264
Type B,4,-3.0361837418567688,4,0.09524740654504207,-31.87681273422359,5.596988870213179e-223,-3.2228652283058956,-2.849502255407642,0.022978802554972706,NA,NA,65.88951989616757,2.931650322587065,12.930593525718365,0.004789130482915138,13.50204794756347,0.003667618602909954,3,SAID,0.045817722827071326,0.038314272702483325,0.05470705197014015
Type C,6,-2.346226557961149,6,0.25318326191965346,-9.266910222152495,1.916161958674679e-20,-2.842456632812041,-1.8499964831102569,0.3760735246452606,NA,NA,98.3264485207207,59.75316638784514,475.1048418103695,1.8838088752390898e-100,463.1285537610051,7.229256935497403e-98,5,SAID,0.08736617342560235,0.055072555846244924,0.13587330993275737
New,9,-2.5602449351240453,9,0.19583039281843106,-13.073787466166394,4.6491820207213315e-39,-2.9440654521265013,-2.1764244181215893,0.33617278025244746,NA,NA,98.87854537474847,89.16990286394402,443.1068398152742,1.108537111233149e-90,509.135337521293,7.70996966831095e-105,8,SAID,0.07174122923885483,0.05001774551698448,0.10188765165461434
Established,5,-2.941783509387731,5,0.12666466225742032,-23.22497417163716,2.547337014937708e-119,-3.190041685526205,-2.6935253332492572,0.0677398563913894,NA,NA,86.86373677681594,7.612514936782853,47.536442609517735,1.1789284876930544e-9,48.5978871477627,7.082804853120525e-10,4,SAID,0.050126285646753185,0.03954219636217783,0.06335649412076946
NH White,6,-2.26770245861245,6,0.20377471769040467,-11.128477979578285,9.117904317519712e-29,-2.6670935662454602,-1.86831135097944,0.2421934624480328,NA,NA,98.21444784795737,56.00508497363308,298.04295527978957,2.6387348599424204e-62,346.90305732064445,8.125302448011346e-73,5,SAID,0.09383338693487214,0.06494324057353734,0.1337372342327928
NH Asian,6,-2.916531920469275,6,0.09764635975501042,-29.868311811998936,5.078143314874351e-196,-3.1079152688105367,-2.7251485721280133,0.04176101755584734,NA,NA,80.27118207567946,5.06872740088122,29.457475305736445,1.885559735302963e-5,26.940474269124095,5.85852958056589e-5,5,SAID,0.05134235570973433,0.04278193605456862,0.06150560515662923
Type A1,8,-1.5580138444008813,8,0.16553078742649902,-9.412230006413093,4.857204196586678e-21,-1.882448226089375,-1.2335794627123877,0.21572599493072023,NA,NA,99.63316044915659,272.59874179348384,2725.16823697684,0,2942.1693395526186,0,7,SIDD,0.1739318321756155,0.13210791824955143,0.22555555014157697
Type B,14,-1.3864575895646807,14,0.18998146687924333,-7.297857061215058,2.9238700864870363e-13,-1.7588144223780868,-1.0141007567512745,0.5005644299735434,NA,NA,99.52605599751845,210.9953907558849,2429.5738753574874,0,2215.42664950822,0,13,SIDD,0.19997388472771815,0.14693888721147605,0.2661780933125487
Type C,11,-1.5495720710014802,11,0.24308318493395784,-6.374657594775535,1.8337216986085262e-10,-2.026006358719327,-1.0731377832836335,0.6436666515088317,NA,NA,99.71669959599546,352.9822004715436,1438.5764765740523,4.644150624015279e-303,1300.022583585853,3.782960482759147e-273,10,SIDD,0.17514808299963017,0.11649934744322,0.25480682267076854
New,16,-1.8874764577705991,16,0.15423144707367692,-12.23794818490515,1.9489742699541974e-34,-2.1897645393185012,-1.5851883762226968,0.3743550489221827,NA,NA,99.66793647340107,301.1471962133979,3403.3407192203886,0,3542.2160155731654,0,15,SIDD,0.13153246995697043,0.10067340976351305,0.17006193599812022
Established,17,-1.0998084820602623,17,0.12979627441257843,-8.473343992635284,2.3844710963756115e-17,-1.3542045052363938,-0.8454124588841307,0.28278226410579566,NA,NA,99.41207540026562,170.0898381275077,1822.2119833381237,0,1895.8522431459396,0,16,SIDD,0.24977578081808322,0.2051838366787692,0.30039608355361963
NH White,8,-2.108645861055572,8,0.20622501155478004,-10.224976326382444,1.5326539901448735e-24,-2.512839456414297,-1.7044522656968466,0.3322722464704904,NA,NA,99.59230664359798,245.28238792636364,743.559890593326,2.786649084537024e-156,767.090080730979,2.34046821253493e-161,7,SIDD,0.1082593249809394,0.07496297377594519,0.15388466775374715
NH Asian,12,-1.3269653570162045,12,0.13651705651071677,-9.72014333543762,2.4743294400553694e-22,-1.5945338710526287,-1.0593968429797804,0.2183090839520252,NA,NA,98.61736135127452,72.32547715354296,1093.9932476984634,1.1169655337454332e-227,990.582108597622,2.0407948953716037e-205,11,SIDD,0.2096617737832325,0.16874696887610224,0.2574247356589029
Type A1,8,-1.6348241734975637,8,0.15266406084925369,-10.708638067160098,9.271571784645498e-27,-1.9340402344957321,-1.3356081124993953,0.18181847039773497,NA,NA,99.55979934649666,227.16913117721856,1311.2305252814494,6.188883369384247e-279,1152.6359362632752,1.2309787078753988e-244,7,SIRD,0.16317056911281236,0.12630406125457197,0.20823323066447885
Type B,14,-1.8887553122243568,14,0.160613113717146,-11.759658153135758,6.298880348794245e-32,-2.2035512305547993,-1.5739593938939145,0.3523857499647602,NA,NA,99.33537975584619,150.4618628150866,1942.2324519792676,0,1902.3923899591116,0,13,SIRD,0.13138645309056643,0.09943204041810805,0.17165268116450258
Type C,11,-1.971422499873344,11,0.2851935024722615,-6.912578592371994,4.759221672360765e-12,-2.5303914933438114,-1.4124535064028767,0.8844784522448004,NA,NA,99.77459421227125,443.64433144166236,1395.367330376728,9.92545810044343e-294,925.9211416538617,1.6768875706230072e-192,10,SIRD,0.12223617838236181,0.0737548972273104,0.19584736239163775
New,16,-1.6939958564618185,16,0.12860462462980982,-13.172122397137809,1.2697723630489775e-39,-1.9460562889815385,-1.4419354239420985,0.2588827890174687,NA,NA,99.59870264561725,249.19177489674365,2882.2319980001284,0,2590.0462138527173,0,15,SIRD,0.15525106863415777,0.12498401682151528,0.1912458159895196
