group,Category,n_total,n_study,n_category,beta,k,se,zval,pval,ci.lb,ci.ub,tau2,se.tau2,sigma2,I2,H2,QE.LRT,QEp.LRT,QE.Wld,QEp.Wld,QE.df,phenotype,average_proportion,average_lci,average_uci
Duration = New,Type B,241366,7,21893,-0.7016220724573297,7,0.11622668128351853,-6.036669590055849,1.573273965313738e-9,-0.9294221818156415,-0.4738219630990178,0.09159026373561291,NA,NA,98.23004417241026,56.49858512919823,661.1308920793622,1.5044001243973206e-139,641.4115777841586,2.7110499665769496e-135,6,MOD,0.3314526916515167,0.283041955992126,0.38371203604993226
Duration = New,Type C,241366,4,6100,-1.2632972897209822,4,0.12748886938858006,-9.909079088861567,3.8013374536876464e-23,-1.51317088215233,-1.0134236972896344,0.059928680213696954,NA,NA,93.05700585877,14.403007976942389,48.368223926257514,1.7779087463362013e-10,47.604464386281386,2.584861567494842e-10,3,MOD,0.22040680440828242,0.1804693439251892,0.26631036245458306
Duration = Established,Type A1,241366,3,3219,-1.0509881831087102,3,0.07252423622141169,-14.491544314925468,1.3702702424086166e-47,-1.1931330741089523,-0.9088432921084681,0.010320743741363443,NA,NA,66.97468391465235,3.027980102947963,9.382645461326007,0.009174542677820583,9.348519241226667,0.009332432120888606,2,MOD,0.2590353876912221,0.23269905631912516,0.2872365937655019
Duration = Established,Type B,241366,7,26602,-1.2395890661091058,7,0.23309048699401408,-5.318059445904969,1.0487980622138882e-7,-1.6964380257562752,-0.7827401064619364,0.3749769437602449,NA,NA,99.40257432622626,167.38483863328182,651.1950796159214,2.097901212225233e-137,453.85015524412506,7.282048551233456e-95,6,MOD,0.22450752282226308,0.15493105218199058,0.31372963106485785
Duration = Established,Type C,241366,7,36003,-1.1856574640877313,7,0.10721716504562126,-11.058466837686206,1.994780415096584e-28,-1.3957992461016357,-0.9755156820738269,0.07854781097267545,NA,NA,98.50264008522167,66.78421067175684,236.78760657496665,2.723883845751669e-48,252.51740223085784,1.1882685594369233e-51,6,MOD,0.23403649431508966,0.19848355391326455,0.27378247596508376
R/E = NH White,Type A1,241366,3,131474,-1.0813576786845438,3,0.09178649381960126,-11.781228737311425,4.877679019754755e-32,-1.2612559008381705,-0.9014594565309171,0.02463896477379252,NA,NA,98.52962747844958,68.00997606685155,327.0336033258247,9.672869739021507e-72,309.9282889488481,5.011031835953623e-68,2,MOD,0.2532491745698665,0.2207577716481354,0.28875067097060303
R/E = NH White,Type B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MOD,NA,NA,NA
R/E = NH White,Type C,241366,4,6100,-1.2632972897209822,4,0.12748886938858006,-9.909079088861567,3.8013374536876464e-23,-1.51317088215233,-1.0134236972896344,0.059928680213696954,NA,NA,93.05700585877,14.403007976942389,48.368223926257514,1.7779087463362013e-10,47.604464386281386,2.584861567494842e-10,3,MOD,0.22040680440828242,0.1804693439251892,0.26631036245458306
R/E = NH Asian,Type A1,241366,5,19294,-1.1598010453472207,5,0.06909120008629481,-16.786523376329125,3.062684323047406e-63,-1.2952173091650092,-1.0243847815294322,0.019849625250419112,NA,NA,87.49041314322359,7.993869113737376,43.845115502297375,6.9090321727912135e-9,45.6320342789052,2.9376414775135064e-9,4,MOD,0.2387034381340771,0.21497103633388445,0.2641741786905503
R/E = NH Asian,Type B,241366,6,12403,-0.9138676307013042,6,0.14501961298461868,-6.301683006134021,2.9443086479548974e-10,-1.198100849203094,-0.6296344121995143,0.12113081695124774,NA,NA,97.58412094826322,41.39280065701535,120.36747961481007,2.6235841783364126e-24,112.69034722448951,1.1060133487198473e-22,5,MOD,0.2862090528165167,0.23181323714817545,0.347593438351702
R/E = NH Asian,Type C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MOD,NA,NA,NA
Overall,Type A1,241366,8,150768,-0.5347013499128581,8,0.0789795996603795,-6.770119780451276,1.2867581905710751e-11,-0.6894985207605938,-0.3799041790651224,0.04768843984280663,NA,NA,98.96301111077697,96.43304864618783,349.2769577630268,1.75983398004013e-71,345.15980141320995,1.3387543454003307e-70,7,MARD,0.36942104191513114,0.3341446390851348,0.40615000811808594
Overall,Type B,241366,14,48495,-0.7835028633456571,14,0.16898339695483736,-4.636567127095076,3.542431873909095e-6,-1.1147042353623737,-0.4523014913289405,0.39578337016065374,NA,NA,99.60786328067519,255.01309893187565,2741.7919372813326,0,2300.2381067434135,0,13,MARD,0.31356543029026285,0.2469949142618565,0.3888137054085566
Overall,Type C,241366,11,42103,-0.6222556850241632,11,0.17323876153746173,-3.591896406449457,3.2828035250779863e-4,-0.9617974183639109,-0.28271395168441543,0.3273408251555661,NA,NA,99.62909288186665,269.60927712377594,909.1651822556526,6.782017946645824e-189,619.7372346403029,1.0372722188316167e-126,10,MARD,0.3492686050771861,0.2765184661376483,0.429788540616318
Duration = New,Type A1,241366,5,147549,-0.5933803890186686,5,0.0897362766328598,-6.61249175120537,3.7790418120411565e-11,-0.769260259325797,-0.41750051871154026,0.03918738945465354,NA,NA,99.2085498996991,126.35035356238133,306.48668342242354,4.319850649085859e-65,302.0684958173125,3.877939103458294e-64,4,MARD,0.35585961253996634,0.3166391487463912,0.3971150084853705
Duration = New,Type B,241366,7,21893,-0.6763995729640322,7,0.2308594610901669,-2.9299192234527935,0.0033905012687946083,-1.1288758021910852,-0.2239233437369792,0.36998521942943624,NA,NA,99.52516109690522,210.59774030359458,2052.0363529197925,0,1726.4879463663078,0,6,MARD,0.33706535374902985,0.24436862729414438,0.44425191145612114
Duration = New,Type C,241366,4,6100,-0.43229632867513124,4,0.11703142710019837,-3.693848219974398,2.2088567640018286e-4,-0.6616737108508448,-0.2029189464994176,0.05104393847209446,NA,NA,94.0780474504563,16.88632240184114,92.25556772250523,7.178399455623203e-20,90.71818437299174,1.5356573894962436e-19,3,MARD,0.3935781230059223,0.34036373590216135,0.4494436206466572
Duration = Established,Type A1,241366,3,3219,-0.4297456829133135,3,0.13036668999768,-3.296437785763842,9.791929936966216e-4,-0.6852597000924644,-0.1742316657341626,0.0467495550085854,NA,NA,91.91595005948074,12.370037386678586,32.38133711439448,9.299979415364776e-8,32.13872109124266,1.0499421898174318e-7,2,MARD,0.39418706177512364,0.33508840485369,0.45655193954569445
Duration = Established,Type B,241366,7,26602,-0.8911373204885071,7,0.24038336153032863,-3.70715058985509,2.096043164937715e-4,-1.3622800515706224,-0.41999458940639195,0.39958166852704763,NA,NA,99.5299721003277,212.75332819545426,676.4260742243921,7.513860428971825e-143,573.6756429673912,1.1096547914121349e-120,6,MARD,0.2908751801814032,0.20386998404731813,0.39651804484352776
Duration = Established,Type C,241366,7,36003,-0.7296742840113726,7,0.25650632583332283,-2.8446638952893237,0.004445830732732892,-1.2324174444513813,-0.2269311235713638,0.458316802764551,NA,NA,99.80130680237181,503.2884929816283,756.1118446224377,4.664216372095705e-160,480.20837419814245,1.539796901296986e-100,6,MARD,0.32526620761860964,0.2257585965054337,0.4435094392801853
R/E = NH White,Type A1,241366,3,131474,-0.44727555551353393,3,0.055646697384254686,-8.037773606310934,9.148545586197745e-16,-0.5563410782452723,-0.3382100327817955,0.00876654194629306,NA,NA,96.97751065730046,33.085311033945494,82.23560239098802,1.3892033848052466e-18,83.01659259563479,9.401041387740332e-19,2,MARD,0.3900087220510921,0.3643944855597503,0.4162443469204983
R/E = NH White,Type B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MARD,NA,NA,NA
R/E = NH White,Type C,241366,4,6100,-0.43229632867513124,4,0.11703142710019837,-3.693848219974398,2.2088567640018286e-4,-0.6616737108508448,-0.2029189464994176,0.05104393847209446,NA,NA,94.0780474504563,16.88632240184114,92.25556772250523,7.178399455623203e-20,90.71818437299174,1.5356573894962436e-19,3,MARD,0.3935781230059223,0.34036373590216135,0.4494436206466572
R/E = NH Asian,Type A1,241366,5,19294,-0.5912673264401147,5,0.11677868421351918,-5.063144275191834,4.1239751345415884e-7,-0.8201493416605885,-0.36238531121964096,0.06483971516025405,NA,NA,96.56551403050622,29.116438642705997,110.88009373988045,4.72368505201999e-23,113.46466703868049,1.327026876917041e-23,4,MARD,0.3563441236338285,0.30573195972213063,0.41038227224284135
R/E = NH Asian,Type B,241366,6,12403,-0.5614909854332848,6,0.201487003528182,-2.7867354995665963,0.005324191639202511,-0.9563982557014163,-0.1665837151651533,0.23918001918114795,NA,NA,98.85669922380413,87.46604750215594,439.1647348199973,1.0673647184992876e-92,387.7128738361488,1.3187406172978894e-81,5,MARD,0.3632025446952795,0.2775999032941962,0.458450111380673
R/E = NH Asian,Type C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MARD,NA,NA,NA
