z_p_var,SAID,SIDD,SIRD,MOD,MARD
z_p_duration,"z = 1.6, adj.p = 0.194","z = 3.9, adj.p = 0.001","z = 1.3, adj.p = 0.242","z = 1.4, adj.p = 0.224","z = 0.8, adj.p = 0.421"
z_p_re,"z = 2.9, adj.p = 0.014","z = 3.2, adj.p = 0.008","z = 2.8, adj.p = 0.014","z = 1.6, adj.p = 0.194","z = 1.1, adj.p = 0.31"
